PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Montoya, L; Rivas, P		Cunningham, M; Cunningham, P		Montoya, Laura; Rivas, Pablo			Government AI Readiness Meta-Analysis for Latin America And The Caribbean	2019 IEEE INTERNATIONAL SYMPOSIUM ON TECHNOLOGY AND SOCIETY (ISTAS)	IEEE International Symposium on Technology and Society		English	Proceedings Paper	IEEE International Symposium on Technology and Society (ISTAS)	NOV 15-16, 2019	Medford, TX	IEEE, IEEE Soc Social Implicat Technol		artificial intelligence; government; latin america; caribbean; automation; technology and society	UNEMPLOYMENT RATE	Artificial intelligence (AI)-based technology has the potential of transforming how governments function, making them better able to serve, protect, and improve the quality of life of their constituents. As governments of developing countries continue to shift to more advanced digital platforms, they have adopted practices and policies that have a direct impact on the future of AI-based technology. This research aims to discuss factors that may have a direct impact on the AI preparedness of Latin America and the Caribbean (LAC) countries. It evaluates a recent ranking developed by the international development research center (IDRC) focused on indicators towards the development or use of AI technology in governance, infrastructure, technological skills, and public services against each country's economic metrics including unemployment rate, gross domestic product per capita purchasing power parity (GDP-PPP), cost to hire an AI researcher, and countrywide education levels. It also reviews metrics and factors outside of economics which have a direct impact on AI readiness and its effects on each country's citizens, including automation potential and data privacy policies. This research discusses current issues with existing evaluation criteria for AI readiness and expands factors and considerations essential to LAC countries as they embrace the AI revolution.	[Montoya, Laura] Accel AI Inst, San Francisco, CA 94107 USA; [Rivas, Pablo] Marist Coll, Dept Comp Sci, Poughkeepsie, NY USA		Montoya, L (corresponding author), Accel AI Inst, San Francisco, CA 94107 USA.	laura@accel.ai; Pablo.Rivas@Marist.edu	Rivas, Pablo/J-4894-2019	Rivas, Pablo/0000-0002-8690-0987; Montoya, Laura/0000-0001-8115-8851					40	3	3	1	10	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2158-3404		978-1-7281-5480-0	INT SYMP TECHNOL SOC			2019													8	Computer Science, Interdisciplinary Applications; Engineering, Multidisciplinary	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BO8JU					2022-06-04	WOS:000527550200006
J	Gutierrez, SSM; Perez, SL; Munguia, MG				Moreno Gutierrez, Silvia Soledad; Lopez Perez, Socrates; Garcia Munguia, Monica			Artificial Intelligence in e-Learning Plausible Scenarios in Latin America and New Graduation Competencies	IEEE REVISTA IBEROAMERICANA DE TECNOLOGIAS DEL APRENDIZAJE-IEEE RITA			English	Article						Artificial intelligence; Technological innovation; Market research; Economics; Uncertainty; Training; Proposals; Graduate skills; multidisciplinary training; society 5.0		Industry 4.0, as a result of the technological revolution, reached an unprecedented impact worldwide; this transformation continues, now in search of an inclusive and just society, where smart technologies coexist under control and for the service of human beings. Faced with this scenario, the university is responsible for training software engineers with autonomous and competitive profiles in artificial intelligence as a means of access to social and economic development in each country. A proposal of e-learning graduate competencies is proposed after a prospective analysis of artificial intelligence in a virtual environment in Latin America.	[Moreno Gutierrez, Silvia Soledad; Lopez Perez, Socrates; Garcia Munguia, Monica] Autonomous Univ State Hidalgo, Higher Sch Tlahuelilpan, Pachuca 42000, Hidalgo, Mexico		Gutierrez, SSM (corresponding author), Autonomous Univ State Hidalgo, Higher Sch Tlahuelilpan, Pachuca 42000, Hidalgo, Mexico.	silviam@uaeh.edu.mx; lopezs@uaeh.edu.mx; monicagm@uaeh.edu.mx							45	0	0	0	0	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA		1932-8540		IEEE REV IBEROAM TEC	IEEE Rev. Iberoam. Tecnol Aprendiz.	FEB	2022	17	1					31	40		10.1109/RITA.2022.3149833			10	Computer Science, Interdisciplinary Applications	Emerging Sources Citation Index (ESCI)	Computer Science	ZU6XH					2022-06-04	WOS:000769983800007
J	Gutierrez, CM				Munoz Gutierrez, Catherine			Discrimination in an automated society: Contributions from Latin America	REVISTA CHILENA DE DERECHO Y TECNOLOGIA			Spanish	Article						Principle of equality; discrimination; artificial intelligence; Latin America; automated decision-making	DECISION-MAKING; EQUALITY	Do current Latin American laws adequately protect people against discrimination due to the use of artificial intelligence systems for automated decision-making? How should an effective legal framework on this matter be configured? Based on these questions, this article analyzes this form of discrimination from a technical and regulatory point of view, develops a conceptual theory on the particularities of algorithmic discrimination situated and contextualized in Latin America, proposes the incorporation of a relational principle that is distinctive to the region and offers a new interpretative approach to the Principle of Equality and the discrimination concept, from a collective perspective, with the aim of overcoming normative difficulties evidenced in comparative law.				cmunoz@idoneaia.cl							92	0	0	3	5	UNIV CHILE, FAC DERECHO	SANTIAGO DE CHILE	PIO NONO NO 1, PROVIDENCIA, SANTIAGO DE CHILE, 00000, CHILE	0719-2576	0719-2584		REV CHIL DERECHO TEC	Rev. Chil. Derecho Tecnol.		2021	10	1					271	307		10.5354/0719-2584.2021.58793			37	Law	Emerging Sources Citation Index (ESCI)	Government & Law	TD6PI		Green Published, gold			2022-06-04	WOS:000669446000010
J	Foster, MN; Rhoden, SLNH				Foster, Marshalee N.; Rhoden, Stephen L. N. H.			The integration of automation and artificial intelligence into the logistics sector A Caribbean perspective	WORLDWIDE HOSPITALITY AND TOURISM THEMES			English	Article						Caribbean; Logistics; Automation; Artificial intelligence; Shipping; Blue economy		Purpose Artificial intelligence (AI) and automation are technologies that make a global impact by optimizing manual and time-intensive processes using data analytics and robotics, thus making the task more efficient, effective and less time-consuming. This is represented in the cyber-physical context, in which humans and technologies are allowed to coexist and learn from each other. Design/methodology/approach The logistics and supply chain sector consists of numerous partners and stakeholders, and despite the limited inclusion of automation and AI within the sector, there are still many manual and repetitive tasks. Findings Stakeholders in the logistics and supply chain sector are creating awareness and slowly implementing AI and automation within their operations. The majority of shipping and logistics is done through the maritime sector, and this is expected to increase in line with the world's population. Originality/value The purpose of this paper is to examine statistical data on the understanding of automation and AI within education, the port authority and major operators in the shipping and logistics sector throughout the Caribbean.	[Foster, Marshalee N.; Rhoden, Stephen L. N. H.] Caribbean Maritime Univ, Fac Engn & Appl Technol, Kingston, Jamaica		Rhoden, SLNH (corresponding author), Caribbean Maritime Univ, Fac Engn & Appl Technol, Kingston, Jamaica.	mfoster@cmu.edu.jm; srhoden@cmu.edu.jm							9	4	4	2	24	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	1755-4217	1755-4225		WORLDW HOSP TOUR THE	Worldw. Hosp. Tour. Themes	JAN 27	2020	12	1			SI		56	68		10.1108/WHATT-10-2019-0070		JAN 2020	13	Hospitality, Leisure, Sport & Tourism	Emerging Sources Citation Index (ESCI)	Social Sciences - Other Topics	KQ8QZ					2022-06-04	WOS:000512039400001
J	DeVincentis, AJ; Guillon, H; Gomez, RD; Patterson, NK; van den Brandeler, F; Koehl, A; Ortiz-Partida, JP; Garza-Diaz, LE; Gamez-Rodriguez, J; Goharian, E; Solis, SS				DeVincentis, Alyssa J.; Guillon, Herve; Gomez, Romina Diaz; Patterson, Noelle K.; van den Brandeler, Francine; Koehl, Arthur; Ortiz-Partida, J. Pablo; Garza-Diaz, Laura E.; Gamez-Rodriguez, Jennifer; Goharian, Erfan; Solis, Samuel Sandoval			Bright and blind spots of water research in Latin America and the Caribbean	HYDROLOGY AND EARTH SYSTEM SCIENCES			English	Article							VALIDATION; VULNERABILITY; INFORMATION; DIVERGENCE; RESOURCES	Water resources management in Latin America and the Caribbean is particularly threatened by climatic, economic, and political pressures. To assess the region's ability to manage water resources, we conducted an unprecedented literature review of over 20 000 multilingual research articles using machine learning and an understanding of the socio-hydrologic landscape. Results reveal that the region's vulnerability to water-related stresses, and drivers such as climate change, is compounded by research blind spots in niche topics (reservoirs and risk assessment) and subregions (Caribbean nations), as well as by its reliance on an individual country (Brazil). A regional bright spot, Brazil, produces well-rounded water-related research, but its regional dominance suggests that funding cuts there would impede scientifically informed water management in the entire region.	[DeVincentis, Alyssa J.; Guillon, Herve; Gomez, Romina Diaz; Patterson, Noelle K.; Koehl, Arthur; Ortiz-Partida, J. Pablo; Garza-Diaz, Laura E.; Gamez-Rodriguez, Jennifer; Goharian, Erfan; Solis, Samuel Sandoval] Univ Calif Davis, Dept Land Air & Water Resources, Davis, CA 95616 USA; [van den Brandeler, Francine] Univ Amsterdam, Dept Geog Planning & Int Dev Studies, Amsterdam, Netherlands; [van den Brandeler, Francine] Greenleaf Communities, Chicago, IL USA; [Ortiz-Partida, J. Pablo] Union Concerned Scientists, Oakland, CA USA; [Goharian, Erfan] Univ South Carolina, Dept Civil & Environm Engn, Columbia, SC 29208 USA		DeVincentis, AJ (corresponding author), Univ Calif Davis, Dept Land Air & Water Resources, Davis, CA 95616 USA.	ajdevincentis@ucdavis.edu		Patterson, Noelle/0000-0002-6418-5548; Diaz Gomez, Romina/0000-0002-8919-554X; Ortiz Partida, Jose Pablo/0000-0001-9688-2607; Guillon, Herve/0000-0002-6297-8253	Jastro Research Fellowship of UC Davis	Jastro Research Fellowship of UC Davis	This research has been supported by the Jastro Research Fellowship of UC Davis.		65	2	2	0	1	COPERNICUS GESELLSCHAFT MBH	GOTTINGEN	BAHNHOFSALLEE 1E, GOTTINGEN, 37081, GERMANY	1027-5606	1607-7938		HYDROL EARTH SYST SC	Hydrol. Earth Syst. Sci.	AUG 30	2021	25	8					4631	4650		10.5194/hess-25-4631-2021			20	Geosciences, Multidisciplinary; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Geology; Water Resources	UK6PF		Green Submitted, gold			2022-06-04	WOS:000692089000002
J	Corvalan, JG				Gustavo Corvalan, Juan			Artificial intelligence: challenges and opportunities - Prometea: the first artificial intelligence of Latin America at the service of the Justice System	REVISTA DE INVESTIGACOES CONSTITUCIONAIS-JOURNAL OF CONSTITUTIONAL RESEARCH			Spanish	Article						artificial intelligence; robotics; justice; algorithms; human rights		This article explores the challenges that technological advances in general, and artificial intelligence in particular, introduce to society. First it analyzes the effects of the exponential acceleration within the realm of data processing that lead to the optimization of various human activities, to then consider how the incorporation of such technologies will necessarily entail a new approach to achieve the proper transition toward a system compatible with human rights. In this respect, it is emphasized that development asymmetries are often followed by the need to protect and guarantee the effectiveness of rights, which will require that technological advances be oriented towards inclusive innovations, through an optimized interface system and attentive to the modern form of digital interactions. However, as well as promoting the development of the positive type of artificial intelligence, it also embodies the concern about the lack of conceptual traceability of such systems. Necessarily concluding the inclusion of pre-established guiding principles must be required within the structure of such systems to guarantee their correct use and application.	[Gustavo Corvalan, Juan] Univ Buenos Aires, Derecho Adm, Buenos Aires, DF, Argentina		Corvalan, JG (corresponding author), Univ Buenos Aires, Derecho Adm, Buenos Aires, DF, Argentina.	juancorvalan@derecho.uba.ar							29	18	19	3	18	UNIV FEDERAL PARANA, EDITORA	PARANA	RUA JOAO NEGRAO 280, CURITIBA, PARANA, 80060-200, BRAZIL	2359-5639			REV INVESTIG CONST	Rev. Investig. Const.	JAN-APR	2018	5	1					295	316		10.5380/rinc.v5i1.55334			22	Law	Emerging Sources Citation Index (ESCI)	Government & Law	GG0XP		gold, Green Submitted			2022-06-04	WOS:000432404200015
C	Bojorque, R; Pesantez-Aviles, F		Ahram, T		Bojorque, Rodolfo; Pesantez-Aviles, Fernando			Academic Quality Management System Audit Using Artificial Intelligence Techniques	ADVANCES IN ARTIFICIAL INTELLIGENCE, SOFTWARE AND SYSTEMS ENGINEERING	Advances in Intelligent Systems and Computing		English	Proceedings Paper	10th Int Conf on Appl Human Factors and Ergon (AHFE) / AHFE Int Conf Human Factors in Artificial Intelligence and Social Comp / AHFE Int Conf on Human Factors, Software, Serv and Syst Engn / AHFE Int Conf of Human Factors in Energy	JUL 24-28, 2019	Washington, DC	AHFE		Quality Management Systems; Artificial intelligence; Audit techniques	HIGHER-EDUCATION	Quality management systems are a challenge for higher education centers. Nowadays, there are different management systems, for instance: quality, environmental, information security, etc. that can be applied over education centers, but to implement all of them is not a guarantee of education quality because the educational process is very complex. However, a few years ago the Quality Management Systems for higher education centers are taking importance especially in Europe and North America, although in Latin America is an unexplored field. Higher education centers quality is a very complex problem because it is difficult to measure the quality since there are a lot of academic processes as enrollment, matriculation, teaching-learning with a lot of stakeholders as students, teachers, authorities even society; in a lot of locations as campuses, buildings, laboratories with different resources. Each process generates a lot of records and documentation. This information has a varied nature and it is present at a structured and no-structured form. In this context, artificial intelligence techniques can help us to analyze and management knowledge. Our work presents a new approach to audit academic information with machine learning and information retrieval. In our experiments, we used information about syllabus, grades, assessments and online content from a Latin American University. We conclude that using artificial intelligence techniques minimize the decision support time, it allows full data analysis instead of a data sample and it finds out patterns never seen in the case study university.	[Bojorque, Rodolfo; Pesantez-Aviles, Fernando] Univ Politecn Salesiana, Cuenca, Ecuador		Bojorque, R (corresponding author), Univ Politecn Salesiana, Cuenca, Ecuador.	rbojorque@ups.edu.ec; fpesantez@ups.edu.ec							21	3	3	5	26	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	2194-5357	2194-5365	978-3-030-20454-9; 978-3-030-20453-2	ADV INTELL SYST			2020	965						275	283		10.1007/978-3-030-20454-9_28			9	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Software Engineering	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BO1CL					2022-06-04	WOS:000494940300028
J	Mayfield, AB				Mayfield, Anderson B.			Machine-Learning-Based Proteomic Predictive Modeling with Thermally-Challenged Caribbean Reef Corals	DIVERSITY-BASEL			English	Article						artificial intelligence; coral reefs; dinoflagellates; global climate change; machine learning; molecular biotechnology; proteomics; temperature	FLORIDA-KEYS; STRESS; FAVEOLATA; RESPONSES	Coral health is currently diagnosed retroactively; colonies are deemed "stressed" upon succumbing to bleaching or disease. Ideally, health inferences would instead be made on a pre-death timescale that would enable, for instance, environmental mitigation that could promote coral resilience. To this end, diverse Caribbean coral (Orbicella faveolata) genotypes of varying resilience to high temperatures along the Florida Reef Tract were exposed herein to elevated temperatures in the laboratory, and a proteomic analysis was taken with a subset of 20 samples via iTRAQ labeling followed by nano-liquid chromatography + mass spectrometry; 46 host coral and 40 Symbiodiniaceae dinoflagellate proteins passed all stringent quality control criteria, and the partial proteomes of biopsies of (1) healthy controls, (2) sub-lethally stressed samples, and (3) actively bleaching corals differed significantly from one another. The proteomic data were then used to train predictive models of coral colony bleaching susceptibility, and both generalized regression and machine-learning-based neural networks were capable of accurately forecasting the bleaching susceptibility of coral samples based on their protein signatures. Successful future testing of the predictive power of these models in situ could establish the capacity to proactively monitor coral health.	[Mayfield, Anderson B.] Univ Miami, Cooperat Inst Marine & Atmospher Studies, Miami, FL 33149 USA; [Mayfield, Anderson B.] NOAA, Atlantic Oceanog & Meteorol Lab, Miami, FL 33149 USA		Mayfield, AB (corresponding author), Univ Miami, Cooperat Inst Marine & Atmospher Studies, Miami, FL 33149 USA.; Mayfield, AB (corresponding author), NOAA, Atlantic Oceanog & Meteorol Lab, Miami, FL 33149 USA.	abm64@miami.edu		Mayfield, Anderson/0000-0003-0138-7844					39	0	0	4	4	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		1424-2818		DIVERSITY-BASEL	Diversity-Basel	JAN	2022	14	1							33	10.3390/d14010033			22	Biodiversity Conservation; Ecology	Science Citation Index Expanded (SCI-EXPANDED)	Biodiversity & Conservation; Environmental Sciences & Ecology	ZC6GQ		gold			2022-06-04	WOS:000757616500001
J	Barredo-Ibanez, D; De-la-Garza-Montemayor, DJ; Torres-Toukoumidis, A; Lopez-Lopez, PC				Barredo-Ibanez, Daniel; De-la-Garza-Montemayor, Daniel-Javier; Torres-Toukoumidis, Angel; Lopez-Lopez, Paulo-Carlos			Artificial intelligence, communication, and democracy in Latin America: a review of the cases of Colombia, Ecuador, and Mexico	PROFESIONAL DE LA INFORMACION			English	Review						Artificial intelligence; Algorithmic communication; Algorithms; Democracy; Communication; Political communication; Latin America; Colombia; Ecuador; Mexico; Political participation; Elections; Electoral campaigns; Fact-checking; Sistematic review	SOCIAL MEDIA; FAKE NEWS; ERA; POLITICS; PROTESTS; BREXIT	The concept of algorithmic political communication has arisen through the joint development of propaganda and communication theories, as well as the findings of computer science. This is a field that generates results that amplify and extend to political communication, such as microsegmentation or automated diffusion of content; likewise, it produces some adverse effects that hinder citizen participation in the cybersphere. This paper presents a review of works published in three Latin American countries (Colombia, Ecuador, and Mexico) with artificial intelligence, communication, and democracy as their constituent elements. The data come from a total of 206 documents, including reports from supranational organisms and associations, and publications in scientific journals indexed in databases such as Google Scholar and Scopus between 2011 and 2021. The selection criterion is based on the total or partial appearance of certain keywords, plus filters by relevance and impact factors. This systematic review is structured based along four axes that explain democracy according to Landman et al. (2009): electoral participation, participation of civil society, media integrity, and impartial administration. The main conclusions indicate that many of the practices in the studied countries are still at an incipient or experimental stage, with algorithmic political communication being used especially during electoral campaigns. Similarly, an increasing resistance from civil society to the influence of social networks is starting to be detected.	[Barredo-Ibanez, Daniel] Univ Rosario, Escuela Ciencias Humanas, Bogota, Colombia; [De-la-Garza-Montemayor, Daniel-Javier] Univ Monterrey, San Pedro Garza Garcia 66238, Nuevo Leon, Mexico; [Torres-Toukoumidis, Angel] Univ Politecn Salesiana, Calle Vieja 12-30 & Elia Liut, Cuenca, Ecuador; [Lopez-Lopez, Paulo-Carlos] Univ Santiago de Compostela, Santiago De Compostela 15705, A Coruna, Spain		Lopez-Lopez, PC (corresponding author), Univ Santiago de Compostela, Santiago De Compostela 15705, A Coruna, Spain.	daniel.barredo@urosario.edu.co; daniel.delagarza@udem.edu; atorrest@ups.edu.ec; paulocarlos.lopez@usc.es	Barredo, Daniel/AAC-3336-2020; Torres-Toukoumidis, Angel/I-6110-2019	Barredo, Daniel/0000-0002-2259-0756; Torres-Toukoumidis, Angel/0000-0002-7727-3985; Lopez-Lopez, Paulo Carlos/0000-0002-8101-7976	Research Group in Applied Ethics, Labor, and Social Change of the Universidad del Rosario, Colombia; Gamelab-UPS of the Universidad Politecnica Salesiana, Ecuador; Department of Administration of the Universidad de Monterrey, Mexico; Political Research Group of the Universidad de Santiago de Compostela [GI1161]	Research Group in Applied Ethics, Labor, and Social Change of the Universidad del Rosario, Colombia; Gamelab-UPS of the Universidad Politecnica Salesiana, Ecuador; Department of Administration of the Universidad de Monterrey, Mexico; Political Research Group of the Universidad de Santiago de Compostela	The results of this paper are part of the work of the Research Group in Applied Ethics, Labor, and Social Change of the Universidad del Rosario, Colombia, the Gamelab-UPS of the Universidad Politecnica Salesiana, Ecuador, the Department of Administration of the Universidad de Monterrey, Mexico, and the Political Research Group (GI1161) of the Universidad de Santiago de Compostela.		106	0	0	9	9	 EDICIONES PROFESIONALES INFORMACION SL-EPI	BARCELONA	MISTRAL, 36, BARCELONA, ALBOLOTE, SPAIN	1386-6710	1699-2407		PROF INFORM	Prof. Inf.	NOV-DEC	2021	30	6							e300616	10.3145/epi.2021.nov.16			15	Communication; Information Science & Library Science	Social Science Citation Index (SSCI)	Communication; Information Science & Library Science	YW8UN		Bronze			2022-06-04	WOS:000753688300004
J	de Souza, JT; de Francisco, AC; Piekarski, CM; do Prado, GF; de Oliveira, LG				de Souza, Jovani Taveira; de Francisco, Antonio Carlos; Piekarski, Cassiano Moro; do Prado, Guilherme Francisco; de Oliveira, Leandro Gasparello			Data mining and machine learning in the context of sustainable evaluation: a literature review	IEEE LATIN AMERICA TRANSACTIONS			English	Review						Sustainable development; Data mining; Machine learning; Software; Manufacturing; Bibliographies; Economics; Data mining; Machine learning; Literature review; Methodi Ordinatio; Sustainable performance	CORPORATE SOCIAL PERFORMANCE; BIG DATA; SUPPLY CHAIN; CLUSTER-ANALYSIS; EFFICIENCY; INDICATORS; FRAMEWORK; DECISION; SELECTION; IMPACT	Measuring and evaluating the sustainable performance of an organization has become an important and challenging topic because it involves the economic, social and environmental dimensions, helping the development of policies and becoming strategic factors in the decision-making process. However, difficulties are still encountered by managers in adequately assessing sustainability at the corporate level. In this perspective, data mining and machine learning are presented as techniques for extracting potentially useful information for generation of knowledge. Therefore, the purpose of this article is to identify, by means of a literature review, different approaches used to assist in the evaluation of sustainable performance. The method called Methodi Ordinatio was used for the review and, for the analysis, the software tools: VOSviewer e RStudio. By means of the methodological procedure adopted, 33 significant articles were identified for analysis from the Web of Science, Scopus and Science Direct databases, in which mainly the applied techniques were addressed. In this sense, this study seeks to stimulate research on the use of DM and ML to help in the sustainable context, being essential to assist in the Sustainable Development Goals.	[de Souza, Jovani Taveira; de Francisco, Antonio Carlos; Piekarski, Cassiano Moro; do Prado, Guilherme Francisco; de Oliveira, Leandro Gasparello] Univ Tecnol Fed Parana, Dept Posgrad Engn Prod, Ponta Grossa, Parana, Brazil		de Souza, JT (corresponding author), Univ Tecnol Fed Parana, Dept Posgrad Engn Prod, Ponta Grossa, Parana, Brazil.	jovanisouza5@gmail.com; acfrancisco@utfpr.edu.br; piekarski@utfpr.edu.br; guilhermefprado92@gmail.com; leandro.gasparello@gmail.com	de Souza, Jovani Taveira/I-9916-2017; de Souza, Jovani Taveira/Q-4056-2019; de Francisco, Antonio Carlos/G-4374-2015; Piekarski, Cassiano Moro/R-3936-2019	de Souza, Jovani Taveira/0000-0001-8545-8149; de Souza, Jovani Taveira/0000-0001-8545-8149; de Francisco, Antonio Carlos/0000-0003-0401-4445; Piekarski, Cassiano Moro/0000-0002-5085-101X					102	5	5	3	31	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1548-0992			IEEE LAT AM T	IEEE Latin Am. Trans.	MAR	2019	17	3					372	382		10.1109/TLA.2019.8863307			11	Computer Science, Information Systems; Engineering, Electrical & Electronic	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering	JG7ZT					2022-06-04	WOS:000492297900004
